file_reference,identifier,file_name,folder,date_last_modified,description,end_date,checksum,rights_copyright,legal_status,held_by,language,original_identifier,file_name_translation,TDR_consignment_ref,former_reference_department,note
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/redacted/closed_file.txt,closed_file.txt,file,2023-10-17T00:00:00,,,c92a8dc3329c85755f0896b91f690a93a8729eb084037e110db3bf1525b7917d,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/redacted/closed_file_R.pdf,closed_file_R.pdf,file,2023-10-18T08:40:37,,,f391065b47a36a06748720ad9c88545a16c95c3bd3e806fc1c10c68eeccfa328,Crown Copyright,Public Record(s),"The National Archives, Kew",English,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/redacted/closed_file.txt,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/redacted/closed_file_R%20-%20Copy.pdf,closed_file_R - Copy.pdf,file,2023-10-18T08:40:37,,,f391065b47a36a06748720ad9c88545a16c95c3bd3e806fc1c10c68eeccfa328,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-a/file-a1.txt,file-a1.txt,file,2023-10-17T00:00:00,,,4ef13f1d2350fe1e9f79a88ec063031f65da834e8afdd0512e230544cca0a34b,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-b/file-b1.txt,file-b1.txt,file,2023-10-17T00:00:00,,,1ac5612f744314f2a32c72e562b4b548ec587888249c23ceae9c19a9b566018c,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-b/file-b2.txt,file-b2.txt,file,2023-10-17T00:00:00,,,b62a45f66bbc5d8f234f785b3f2342a07ef6db5fc9bcaf11273f6712a8629c05,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-b/,folder-b,folder,2023-10-18T09:44:51,,,,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-a/,folder-a,folder,2023-10-18T09:44:51,,,,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/,content,folder,2023-10-18T09:44:51,,,,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/redacted/,redacted,folder,2023-10-18T09:44:51,,,,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/mismatch/mismatch.docx,mismatch.docx,file,2023-10-18T08:40:37,,,f391065b47a36a06748720ad9c88545a16c95c3bd3e806fc1c10c68eeccfa328,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,This record has the extension .docx but has been identified as a Acrobat PDF 1.7 - Portable Document Format
,"file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-a/file-a1,.txt","file-a1,.txt",file,2023-10-17T00:00:00,Description,,4ef13f1d2350fe1e9f79a88ec063031f65da834e8afdd0512e230544cca0a34b,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/mismatch/,mismatch,folder,2023-10-18T09:44:51,,,,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-a/file-a2.txt,file-a2.txt,file,2023-10-17T00:00:00,,,5d11e11deb1705433b900a4b07a07cf6307b595f4121081342aa12f67989b8fa,Crown Copyright,Public Record(s),"The National Archives, Kew",English,,,TDR-2023-BV6,,
