file_reference,identifier,folder,closure_type,closure_start_date,closure_period,foi_exemption_code,foi_exemption_asserted,title_public,title_alternate,description_public,description_alternate
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/redacted/closed_file.txt,file,closed_for,2023-10-17T00:00:00,25,40(2),2023-10-18T00:00:00,FALSE,redacted_file,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/redacted/closed_file_R.pdf,file,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/redacted/closed_file_R%20-%20Copy.pdf,file,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-a/file-a1.txt,file,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-b/file-b1.txt,file,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-b/file-b2.txt,file,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-b/,folder,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-a/,folder,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/,folder,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/redacted/,folder,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/mismatch/mismatch.docx,file,open_on_transfer,,0,open,,TRUE,,TRUE,
,"file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-a/file-a1,.txt",file,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/mismatch/,folder,open_on_transfer,,0,open,,TRUE,,TRUE,
,file:/E:/Talend/Processing/TDR_DRI/Consignment/output/TSTA1Y23TBBV6/TSTA_1/content/folder-a/file-a2.txt,file,open_on_transfer,,0,open,,TRUE,,TRUE,
