Filepath,AV-Software,AV-SoftwareVersion
data/content/Workflows/DTP_ Digital Transfer process diagram UG.docx,yara,4.3.1
data/content/Emergency Response Team/Response Procedure.docx,yara,4.3.1
data/content/Presentation.pptx,yara,4.3.1
data/content/Workflows/Remove.docx,yara,4.3.1
data/content/delivery-form-digital.doc,yara,4.3.1
data/content/Workflows/DTP_ Sensitivity review process.docx,yara,4.3.1
data/content/Emergency Response Team/Emergency Contact Details Paul Young.docx,yara,4.3.1
data/content/DTP.docx,yara,4.3.1
data/content/Digital Transfer training email .msg,yara,4.3.1
data/content/Emergency Response Team/Response Policy.docx,yara,4.3.1
data/content/Workflows/DTP_ Digital Transfer process diagram v 6.docx,yara,4.3.1
data/content/tech_acq_metadata_vmUNKNOWN-VERSION-NUMBER_tmtsample01.csv,yara,4.3.1
data/content/Gateways.ppt,yara,4.3.1
data/content/base_de_donnees.png,yara,4.3.1
data/content/Draft DDRO 05.docx,yara,4.3.1
