Filepath,Extension,PUID,FFID-Software,FFID-SoftwareVersion,FFID-BinarySignatureFileVersion,FFID-ContainerSignatureFileVersion
data/content/Workflows/DTP_ Digital Transfer process diagram UG.docx,docx,fmt/412,Droid,6.6.1,111,20230510
data/content/Emergency Response Team/Response Procedure.docx,docx,fmt/412,Droid,6.6.1,111,20230510
data/content/Presentation.pptx,pptx,fmt/215,Droid,6.6.1,111,20230510
data/content/Workflows/Remove.docx,docx,fmt/412,Droid,6.6.1,111,20230510
data/content/delivery-form-digital.doc,doc,fmt/40,Droid,6.6.1,111,20230510
data/content/Workflows/DTP_ Sensitivity review process.docx,docx,fmt/412,Droid,6.6.1,111,20230510
data/content/Emergency Response Team/Emergency Contact Details Paul Young.docx,docx,fmt/412,Droid,6.6.1,111,20230510
data/content/DTP.docx,docx,fmt/412,Droid,6.6.1,111,20230510
data/content/Digital Transfer training email .msg,msg,x-fmt/430,Droid,6.6.1,111,20230510
data/content/Emergency Response Team/Response Policy.docx,docx,fmt/412,Droid,6.6.1,111,20230510
data/content/Workflows/DTP_ Digital Transfer process diagram v 6.docx,docx,fmt/412,Droid,6.6.1,111,20230510
data/content/tech_acq_metadata_vmUNKNOWN-VERSION-NUMBER_tmtsample01.csv,csv,x-fmt/18,Droid,6.6.1,111,20230510
data/content/Gateways.ppt,ppt,fmt/126,Droid,6.6.1,111,20230510
data/content/base_de_donnees.png,png,fmt/12,Droid,6.6.1,111,20230510
data/content/Draft DDRO 05.docx,docx,fmt/412,Droid,6.6.1,111,20230510
