file_name,file_type,file_size,clientside_original_filepath,rights_copyright,legal_status,held_by,date_last_modified,closure_type,closure_start_date,closure_period,foi_exemption_code,foi_exemption_asserted,title_closed,title_alternate,description,description_closed,description_alternate,language,end_date,file_name_translation,original_filepath,file_reference,former_reference_department
closed_file.txt,File,4,data/content/redacted/closed_file.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-10-17T00:00:00,Closed,2023-10-17T00:00:00,25,40(2),2023-10-18T00:00:00,true,redacted_file,,false,,English,,,,,
closed_file_R.pdf,File,6466,data/content/redacted/closed_file_R.pdf,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-10-18T08:40:37,Open,,,,,false,,,false,,English,,,data/content/redacted/closed_file.txt,,
closed_file_R - Copy.pdf,File,6466,data/content/redacted/closed_file_R - Copy.pdf,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-10-18T08:40:37,Open,,,,,false,,,false,,English,,,,,
file-a1.txt,File,46,data/content/folder-a/file-a1.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-10-17T00:00:00,Open,,,,,false,,,false,,English,,,,,
file-b1.txt,File,45,data/content/folder-b/file-b1.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-10-17T00:00:00,Open,,,,,false,,,false,,English,,,,,
file-b2.txt,File,45,data/content/folder-b/file-b2.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-10-17T00:00:00,Open,,,,,false,,,false,,English,,,,,
folder-b,Folder,,data/content/folder-b,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,
folder-a,Folder,,data/content/folder-a,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,
content,Folder,,data/content,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,
redacted,Folder,,data/content/redacted,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,
mismatch.docx,File,6466,data/content/mismatch/mismatch.docx,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-10-18T08:40:37,Open,,,,,false,,,false,,English,,,,,
"file-a1,.txt",File,46,"data/content/folder-a/file-a1,.txt",Crown Copyright,Public Record(s),"The National Archives, Kew",2023-10-17T00:00:00,Open,,,,,false,,Description,false,,English,,,,,
mismatch,Folder,,data/content/mismatch,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,
file-a2.txt,File,45,data/content/folder-a/file-a2.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-10-17T00:00:00,Open,,,,,false,,,false,,English,,,,,
