batch_code,department,division,series,subseries,piece,ordinal,file_uuid,file_path,file_checksum,resource_uri,scan_operator,scan_id,scan_location,scan_native_format,scan_timestamp,image_resolution,image_width,image_height,image_tonal_resolution,image_format,image_colour_space,process_location,jp2_creation_timestamp,uuid_timestamp,embed_timestamp,image_split,image_split_other_uuid,image_split_operator,image_split_timestamp,image_crop,image_crop_operator,image_crop_timestamp,image_deskew,image_deskew_operator,image_deskew_timestamp,comments
tmtsample01,DSIR,,43,,11,1,461b213b-f6fd-4573-9439-924b3bd28447,file:///DSIR/43/11/0001.jp2,6d3865ff6dd99e0e4aa6c3446c8efc431442f391106a38636a4d93c5073ad3be,http://datagov.nationalarchives.gov.uk/66/DSIR/43/11/461b213b-f6fd-4573-9439-924b3bd28447,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:32:00+00:00,300,3315,4458,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:29:46+00:00,2013-12-09T15:29:45+00:00,2013-12-09T15:29:46+00:00,no,,,,manual,MJ001,2013-12-05T12:10:51+00:00,no,,,
tmtsample01,DSIR,,43,,11,2,6e085d7c-251f-4dfb-9df7-699f8324b773,file:///DSIR/43/11/0002.jp2,43aab92daa8eb3c86de20acc8f2a9f928a5e0be71321445ddbdd8f278c85d907,http://datagov.nationalarchives.gov.uk/66/DSIR/43/11/6e085d7c-251f-4dfb-9df7-699f8324b773,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:32:00+00:00,300,3315,4458,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:29:51+00:00,2013-12-09T15:29:50+00:00,2013-12-09T15:29:51+00:00,no,,,,manual,MJ001,2013-12-05T12:10:54+00:00,no,,,
tmtsample01,DSIR,,43,,11,3,e30e2d21-2cc4-48b3-8685-06501eff6018,file:///DSIR/43/11/0003.jp2,db92a37a22973ac84937f3f9a1c0eaeee6f53e06a8ed203b53f4aee8e4de7c14,http://datagov.nationalarchives.gov.uk/66/DSIR/43/11/e30e2d21-2cc4-48b3-8685-06501eff6018,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:32:00+00:00,300,3315,4458,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:29:56+00:00,2013-12-09T15:29:56+00:00,2013-12-09T15:29:56+00:00,no,,,,manual,MJ001,2013-12-05T12:10:58+00:00,no,,,
tmtsample01,DSIR,,43,,11,4,eda984f7-4b6f-4317-862a-358054cbb42b,file:///DSIR/43/11/0004.jp2,4b7e670382a9b59f003178b82916efca546687fb971bd3a345d2b390926a5e10,http://datagov.nationalarchives.gov.uk/66/DSIR/43/11/eda984f7-4b6f-4317-862a-358054cbb42b,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:32:00+00:00,300,3315,4458,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:30:01+00:00,2013-12-09T15:30:01+00:00,2013-12-09T15:30:01+00:00,no,,,,manual,MJ001,2013-12-05T12:11:02+00:00,no,,,
tmtsample01,DSIR,,43,,11,5,3b450755-6c03-46e5-9193-9ee7ec89bc0c,file:///DSIR/43/11/0005.jp2,d642a99774f83759f899257e907664e51cbf7f82c0a2b2a9eba12e2631450551,http://datagov.nationalarchives.gov.uk/66/DSIR/43/11/3b450755-6c03-46e5-9193-9ee7ec89bc0c,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:32:00+00:00,300,3315,4458,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:30:07+00:00,2013-12-09T15:30:06+00:00,2013-12-09T15:30:07+00:00,no,,,,manual,MJ001,2013-12-05T12:11:06+00:00,no,,,
tmtsample01,DSIR,,43,,11,6,429b39c5-2a6a-443a-9e5c-f5a38c92cca5,file:///DSIR/43/11/0006.jp2,38f29c984277c593b6dbeaf4a65eea640b96f07731b0641d1d918cf3e28ae39d,http://datagov.nationalarchives.gov.uk/66/DSIR/43/11/429b39c5-2a6a-443a-9e5c-f5a38c92cca5,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:32:00+00:00,300,3315,4458,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:30:12+00:00,2013-12-09T15:30:11+00:00,2013-12-09T15:30:12+00:00,no,,,,manual,MJ001,2013-12-05T12:11:10+00:00,no,,,
tmtsample01,DSIR,,43,,11,7,fd0df0b1-d7a8-4768-a36b-28b78d2534c3,file:///DSIR/43/11/0007.jp2,9b067c42d76ab9d6b3d980be4e12db82a7857f4b968d805d4cefa2c899334d29,http://datagov.nationalarchives.gov.uk/66/DSIR/43/11/fd0df0b1-d7a8-4768-a36b-28b78d2534c3,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:32:00+00:00,300,6407,4478,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:30:20+00:00,2013-12-09T15:30:20+00:00,2013-12-09T15:30:20+00:00,no,,,,manual,MJ001,2013-12-05T12:11:20+00:00,no,,,
tmtsample01,DSIR,,43,,11,8,3c4f0619-f31e-4d3a-8cd1-54ab0207a3c6,file:///DSIR/43/11/0008.jp2,f952b0ed48773660d1122f7a7d5af2a471ea9f91ce488a50fcb9cf20f09d4907,http://datagov.nationalarchives.gov.uk/66/DSIR/43/11/3c4f0619-f31e-4d3a-8cd1-54ab0207a3c6,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:32:00+00:00,300,6407,4478,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:30:29+00:00,2013-12-09T15:30:29+00:00,2013-12-09T15:30:29+00:00,no,,,,manual,MJ001,2013-12-05T12:11:25+00:00,no,,,
tmtsample01,DSIR,,43,,11,9,cc0ca63f-2440-4f60-a33f-d6b260804ceb,file:///DSIR/43/11/0009.jp2,0381b6312fd2efa645f52bbd45e5435a8d354a4ed5e128957d149f2342997f53,http://datagov.nationalarchives.gov.uk/66/DSIR/43/11/cc0ca63f-2440-4f60-a33f-d6b260804ceb,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:32:00+00:00,300,3315,4458,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:30:35+00:00,2013-12-09T15:30:34+00:00,2013-12-09T15:30:35+00:00,no,,,,manual,MJ001,2013-12-05T12:11:35+00:00,no,,,
tmtsample01,DSIR,,43,,8,1,a686337c-cb8d-4ffe-abba-5ed379105ae7,file:///DSIR/43/8/0001.jp2,60fbdf758448029ebc7c5910bfe002cf76d427380ebc08ce4d0202056e93a6f7,http://datagov.nationalarchives.gov.uk/66/DSIR/43/8/a686337c-cb8d-4ffe-abba-5ed379105ae7,BM001,TMT001,"The National Archives, Kew, Richmond, Surrey, TW9 4DU",TIFF LZW,2013-12-04T11:09:00+00:00,300,3332,4362,Grayscale,x-fmt/392,sGray,"Transmedia Technology Ltd, Kingsway, Swansea West Industrial Estate, Swansea, SA5 4DL",2013-12-09T15:30:39+00:00,2013-12-09T15:30:39+00:00,2013-12-09T15:30:39+00:00,no,,,,manual,MJ001,2013-12-05T12:01:44+00:00,no,,,
