Filepath,Extension,PUID,FormatName,ExtensionMismatch,FFID-Software,FFID-SoftwareVersion,FFID-BinarySignatureFileVersion,FFID-ContainerSignatureFileVersion
data/content/nord-lead-viewer.mxf,,,,false,Droid,6.7.0,116,20231127
data/content/Draft DDRO 05.docx,docx,fmt/412,Microsoft Word OOXML,false,Droid,6.7.0,116,20231127
data/content/Workflows/DTP_ Digital Transfer process diagram v 6.docx,docx,fmt/412,Microsoft Word OOXML,false,Droid,6.7.0,116,20231127
data/content/Emergency Response Team/Response Procedure.docx,docx,fmt/412,Microsoft Word OOXML,false,Droid,6.7.0,116,20231127
data/content/Gateways.ppt,ppt,fmt/126,Microsoft Powerpoint 2000 OLE2,false,Droid,6.7.0,116,20231127
data/content/delivery-form-digital.doc,doc,fmt/40,Microsoft Word 97 OLE2,false,Droid,6.7.0,116,20231127
data/content/base_de_donnees.png,png,fmt/12,Portable Network Graphics,false,Droid,6.7.0,116,20231127
data/content/Emergency Response Team/Response Policy.docx,docx,fmt/412,Microsoft Word OOXML,false,Droid,6.7.0,116,20231127
data/content/Workflows/DTP_ Sensitivity review process.docx,docx,fmt/412,Microsoft Word OOXML,false,Droid,6.7.0,116,20231127
data/content/DTP.docx,docx,fmt/412,Microsoft Word OOXML,false,Droid,6.7.0,116,20231127
data/content/Thumbs.db,db,fmt/682,Microsoft Thumbs.db XP,false,Droid,6.7.0,116,20231127
data/content/Presentation.pptx,pptx,fmt/215,Microsoft Powerpoint 2007 OOXML,false,Droid,6.7.0,116,20231127
data/content/Workflows/Remove.docx,docx,fmt/412,Microsoft Word OOXML,false,Droid,6.7.0,116,20231127
data/content/Workflows/DTP_ Digital Transfer process diagram UG.docx,docx,fmt/412,Microsoft Word OOXML,false,Droid,6.7.0,116,20231127
data/content/Digital Transfer training email .msg,msg,x-fmt/430,Microsoft Outlook Email Message,false,Droid,6.7.0,116,20231127
data/content/Emergency Response Team/Emergency Contact Details Paul Young.docx,docx,fmt/412,Microsoft Word OOXML,false,Droid,6.7.0,116,20231127
data/content/tech_acq_metadata_vmUNKNOWN-VERSION-NUMBER_tmtsample01.csv,csv,x-fmt/18,Comma Separated Values,false,Droid,6.7.0,116,20231127
