file_reference,file_name,file_type,file_size,clientside_original_filepath,rights_copyright,legal_status,held_by,date_last_modified,closure_type,closure_start_date,closure_period,foi_exemption_code,foi_exemption_asserted,title_closed,title_alternate,description,description_closed,description_alternate,language,end_date,file_name_translation,original_filepath,parent_reference,former_reference_department,UUID
ZD5B3V,content,Folder,,data/content,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,,eb491fd5-0f5a-4ae6-b582-a37f76dae5c6
ZD5B3K,nord-lead-viewer.mxf,File,1179295,data/content/nord-lead-viewer.mxf,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B3V,,646056e7-4e94-447d-a5ef-d2f1b795ffa0
ZD5B47,Draft DDRO 05.docx,File,21707,data/content/Draft DDRO 05.docx,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B3V,,8b5e288b-d877-4ba6-adcc-a7d277acd254
ZD5B45,DTP_ Digital Transfer process diagram v 6.docx,File,70263,data/content/Workflows/DTP_ Digital Transfer process diagram v 6.docx,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B3N,,025df6ca-cfa9-4ffc-ad59-8eed879258e1
ZD5B3R,Response Procedure.docx,File,12610,data/content/Emergency Response Team/Response Procedure.docx,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B43,,cfccf0b6-36dc-4cee-b63f-d6f9ddb8055b
ZD5B3W,Gateways.ppt,File,446464,data/content/Gateways.ppt,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B3V,,250b162f-df9a-4d27-b237-c9c1a844a7d1
ZD5B3S,delivery-form-digital.doc,File,139776,data/content/delivery-form-digital.doc,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B3V,,318abd3b-d2b7-4f45-9785-5094c007dfea
ZD5B48,base_de_donnees.png,File,165098,data/content/base_de_donnees.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B3V,,48e6132b-1a08-40a3-a704-156d88737f83
ZD5B46,Response Policy.docx,File,12651,data/content/Emergency Response Team/Response Policy.docx,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B43,,cf4c871f-786b-4691-b77f-755bba24462c
ZD5B44,DTP_ Sensitivity review process.docx,File,70674,data/content/Workflows/DTP_ Sensitivity review process.docx,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B3N,,7ca40ff9-0381-4e95-a0fa-6c7ed5d286a5
ZD5B3P,DTP.docx,File,70263,data/content/DTP.docx,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B3V,,3b5431f7-9166-4c9b-bc20-72a2a4dd780a
ZD5B4B,Thumbs.db,File,685124,data/content/Thumbs.db,Crown Copyright,Public Record(s),"The National Archives, Kew",2022-07-18T00:00:00,Open,,,,,false,,,false,,English,,,,ZD5B3V,,b6ce8b02-c70d-4771-a4de-d4da189822da
ZD5B43,Emergency Response Team,Folder,,data/content/Emergency Response Team,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZD5B3V,,c4e40b55-ac62-43d8-a26c-dd50b0b339f9
ZD5B3N,Workflows,Folder,,data/content/Workflows,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZD5B3V,,80ec3f41-ca06-4589-9826-b2ba2ca17970
