file_reference,file_name,file_type,file_size,clientside_original_filepath,rights_copyright,legal_status,held_by,date_last_modified,closure_type,closure_start_date,closure_period,foi_exemption_code,foi_exemption_asserted,title_closed,title_alternate,description,description_closed,description_alternate,language,end_date,file_name_translation,original_filepath,parent_reference,former_reference_department,UUID
ZDF6DW,my-content,Folder,,data/my-content,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,,872f80ef-3fcf-4591-9430-c8b8bfe2291d
ZDF6F3,user evaluation model values and comments.txt,File,4593,data/my-content/user evaluation model values and comments.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-10-02T19:28:03,Open,,,,,false,,,false,,English,,,,ZDF6DW,,8652eb18-b189-4d4b-926e-578298156a8e
ZDF6F4,folder6,Folder,,data/my-content/folder1/folder2/folder3/folder4/folder6,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDF6DS,,0505cf97-f0cb-4021-8ce5-c3bdb7f3c1d9
ZDF6DR,Name split heuristics.txt,File,1702,data/my-content/folder1/folder2/folder3/folder4/Name split heuristics.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-08-10T15:43:59,Open,,,,,false,,,false,,English,,,,ZDF6DS,,7f5fcab3-8764-4407-89c7-7c78e7407100
ZDF6DV,folder2,Folder,,data/my-content/folder1/folder2,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDF6DL,,6dc9a88b-d2e1-4c59-9e8c-da1ee22bdf8f
ZDF6DT,folder3,Folder,,data/my-content/folder1/folder2/folder3,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDF6DV,,c9d79095-17e2-47d1-9baa-34cbec512fc8
ZDF6DL,folder1,Folder,,data/my-content/folder1,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDF6DW,,9dcde92c-e043-41c6-86a8-ee727b40a458
ZDF6DM,folder5,Folder,,data/my-content/folder1/folder2/folder3/folder5,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDF6DT,,c53cb79c-2a4d-4d5c-90a8-826176885442
ZDF6DN,CSV Schema Language example.PNG,File,4780,data/my-content/folder1/folder2/folder3/folder4/folder6/CSV Schema Language example.PNG,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-01-09T17:23:50,Open,,,,,false,,,false,,English,,,,ZDF6F4,,f1d7711b-9e15-4894-8930-1e712ce2a94a
ZDF6DP,DiAGRAM-Roboto.png,File,1107719,data/my-content/folder1/folder2/folder3/DiAGRAM-Roboto.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-10-19T16:14:41,Open,,,,,false,,,false,,English,,,,ZDF6DT,,1a67baf4-afce-444c-803a-2547023a0dd8
ZDF6F2,exporting from DROID.png,File,45401,data/my-content/folder1/folder2/folder3/folder5/exporting from DROID.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2019-05-14T16:06:02,Open,,,,,false,,,false,,English,,,,ZDF6DM,,e2a12675-6e9b-4622-bb8a-a0f2b5a45c83
ZDF6DS,folder4,Folder,,data/my-content/folder1/folder2/folder3/folder4,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDF6DT,,b14d2b07-7903-484a-b667-a7e5a228aaa9
