file_reference,file_name,file_type,file_size,clientside_original_filepath,rights_copyright,legal_status,held_by,date_last_modified,closure_type,closure_start_date,closure_period,foi_exemption_code,foi_exemption_asserted,title_closed,title_alternate,description,description_closed,description_alternate,language,end_date,file_name_translation,original_filepath,parent_reference,former_reference_department,UUID
ZDD629,"file-a1,.txt",File,46,"data/content/folder-a/file-a1,.txt",Crown Copyright,Public Record(s),"The National Archives, Kew",2023-03-29T00:00:00,Open,,,,,false,,,false,,English,,,,ZDD62G,,f4be0843-67c4-4dc1-926d-7f50935fe748
ZDD62J,file-b2.txt,File,45,data/content/folder-b/file-b2.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-03-29T00:00:00,Closed,2023-03-29T00:00:00,50,40(2),2024-03-03T00:00:00,true,[redacted]-b2,,false,,English,,,,ZDD627,,bfb4c7a7-17d1-448f-a440-212acb6c8922
ZDD627,folder-b,Folder,,data/content/folder-b,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDD62B,,616057a9-f5b7-4dd0-a26d-ba556494c8e2
ZDD62B,content,Folder,,data/content,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,,015656f2-25af-4914-8590-ccf1657d6c7a
ZDD62C,file-a1.txt,File,46,data/content/folder-a/file-a1.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-03-29T00:00:00,Open,,,,,false,,,false,,English,,,,ZDD62G,,7ee2c948-ff06-4c2f-b75c-4260f47bbf26
ZDD62D,file-b1.txt,File,45,data/content/folder-b/file-b1.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-03-29T00:00:00,Open,,,,,false,,,false,,English,,,,ZDD627,,14576aea-1322-45d5-aa64-63f4e91654bc
ZDD62G,folder-a,Folder,,data/content/folder-a,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDD62B,,c5f6c252-6ae3-4e67-89cf-7703c32ef4e0
ZDD628,file-a2.txt,File,45,data/content/folder-a/file-a2.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-03-29T00:00:00,Closed,2023-03-29T00:00:00,20,29|40(2),2024-03-11T00:00:00,false,,This is a sensitive description,true,This is a [redacted] description,English,2023-03-28T00:00:00,,,ZDD62G,,ec555604-a43e-47f7-93a6-5a9bf6a555f3
ZDD62F,closed_file_R.pdf,File,5,data/content/redacted/closed_file_R.pdf,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-03-29T00:00:00,Open,,,,,false,,,false,,English,,,data/content/redacted/closed_file.txt,ZDD62H,,2b4efed7-2464-467c-a9bc-7132264538d4
ZDD62H,redacted,Folder,,data/content/redacted,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDD62B,,207d2eb1-c976-4099-851f-830e7c3113a9
ZDD62K,closed_file.txt,File,4,data/content/redacted/closed_file.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-03-29T00:00:00,Closed,2023-03-29T00:00:00,20,40(2),2024-03-11T00:00:00,true,[redacted]_file,,false,,English,,,,ZDD62H,,1e12b870-7c04-45d5-aae6-619a22a7ac34
