file_reference,file_name,file_type,file_size,clientside_original_filepath,rights_copyright,legal_status,held_by,date_last_modified,closure_type,closure_start_date,closure_period,foi_exemption_code,foi_exemption_asserted,title_closed,title_alternate,description,description_closed,description_alternate,language,end_date,file_name_translation,original_filepath,parent_reference,former_reference_department,UUID
ZDD94H,folder2,Folder,,data/content/folder1/folder2,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDD94C,,1a21ce87-a9af-4941-82a3-423726d034e7
ZDD94G,content,Folder,,data/content,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,,83e01e48-0dfa-4bb6-8faa-b71aed636e22
ZDD94J,folder3,Folder,,data/content/folder1/folder2/folder3,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDD94H,,18e74581-0103-47b3-8f0c-2396f78f6d54
ZDD94F,folder5,Folder,,data/content/folder1/folder2/folder3/folder5,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDD94J,,0225d4cf-dbb4-4ad4-951d-7ce989bc426f
ZDD94C,folder1,Folder,,data/content/folder1,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDD94G,,6e472a1e-a334-4b5f-af2c-9aa37441b8d3
ZDD94K,DiAGRAM-Roboto.png,File,1107719,data/content/folder1/folder2/folder3/DiAGRAM-Roboto.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-10-19T16:14:41,Open,,,,,false,,,false,,English,,,,ZDD94J,,2a0aed58-1e9b-49a4-a17f-b925f3a0fe79
ZDD949,folder6,Folder,,data/content/folder1/folder2/folder3/folder4/folder6,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDD94M,,fbb129ea-7a0d-4d9b-83a3-8ed8e66734dc
ZDD94D,user evaluation model values and comments.txt,File,4593,data/content/folder1/folder2/folder3/user evaluation model values and comments.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-10-02T19:28:03,Open,,,,,false,,,false,,English,,,,ZDD94J,,010f0c01-cd68-4bd7-863f-ac8d2aaf98cc
ZDD94B,exporting from DROID.png,File,45401,data/content/folder1/folder2/folder3/folder5/exporting from DROID.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2019-05-14T16:06:02,Open,,,,,false,,,false,,English,,,,ZDD94F,,09e20503-1cab-49c7-a1eb-23b6c192e8a9
ZDD94L,Name split heuristics.txt,File,1702,data/content/folder1/folder2/folder3/folder4/Name split heuristics.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-08-10T15:43:59,Open,,,,,false,,,false,,English,,,,ZDD94M,,e73a3e8f-6d9f-451e-bcd5-dd595d9f36da
ZDD94M,folder4,Folder,,data/content/folder1/folder2/folder3/folder4,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDD94J,,15f3597a-a4ae-41f3-94a9-7ebf334781ab
ZDD948,CSV Schema Language example.PNG,File,4780,data/content/folder1/folder2/folder3/folder4/folder6/CSV Schema Language example.PNG,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-01-09T17:23:50,Open,,,,,false,,,false,,English,,,,ZDD949,,97569092-61fa-486b-a818-bb2ee87ee698
