file_reference,file_name,file_type,file_size,clientside_original_filepath,rights_copyright,legal_status,held_by,date_last_modified,closure_type,closure_start_date,closure_period,foi_exemption_code,foi_exemption_asserted,title_closed,title_alternate,description,description_closed,description_alternate,language,end_date,file_name_translation,original_filepath,parent_reference,former_reference_department,UUID
ZDG7HS,folder1,Folder,,data/my-content/folder1,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7J4,,c356058c-af78-4270-9f0d-bc5da0fc9abd
ZDG7HT,folder5,Folder,,data/my-content/folder1/folder2/folder3/folder5,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7J2,,172f355a-baba-4b60-9e0f-a15e3a6269c4
ZDG7J9,Name split heuristics.txt,File,1702,data/my-content/folder1/folder2/folder3/folder4/Name split heuristics.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-08-10T15:43:59,Open,,,,,false,,,false,,English,,,,ZDG7HW,,d5d9c4b3-ee7b-49f9-9836-acc200a432f4
ZDG7HV,CSV Schema Language example.PNG,File,4780,data/my-content/folder1/folder2/folder3/folder4/folder6/CSV Schema Language example.PNG,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-01-09T17:23:50,Open,,,,,false,,,false,,English,,,,ZDG7J7,,e04141e2-6773-4cf8-be9f-81dc663d4199
ZDG7HW,folder4,Folder,,data/my-content/folder1/folder2/folder3/folder4,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7J2,,3dead773-b330-45e6-8cb5-33aa63761eba
ZDG7J7,folder6,Folder,,data/my-content/folder1/folder2/folder3/folder4/folder6,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7HW,,590966e6-8ea7-47a6-9206-12ac13f119ea
ZDG7J5,exporting from DROID.png,File,45401,data/my-content/folder1/folder2/folder3/folder5/exporting from DROID.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2019-05-14T16:06:02,Open,,,,,false,,,false,,English,,,,ZDG7HT,,e2f25a74-1e3e-4a98-ad36-239d4fd23782
ZDG7J4,my-content,Folder,,data/my-content,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,,b2ee8280-3773-4c9c-a6d2-5cd311b35cdf
ZDG7J6,user evaluation model values and comments.txt,File,4593,data/my-content/user evaluation model values and comments.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-10-02T19:28:03,Open,,,,,false,,,false,,English,,,,ZDG7J4,,4cfada26-7faa-4f31-a0fc-cb1e93429803
ZDG7J8,DiAGRAM-Roboto.jpg,File,1107719,data/my-content/folder1/folder2/folder3/DiAGRAM-Roboto.jpg,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-10-19T16:14:41,Open,,,,,false,,,false,,English,,,,ZDG7J2,,5d28acef-c7d6-440e-b86b-8281fa7e7ea6
ZDG7J2,folder3,Folder,,data/my-content/folder1/folder2/folder3,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7J3,,9ae4319f-ff78-4d9c-b308-de0cf8a68658
ZDG7J3,folder2,Folder,,data/my-content/folder1/folder2,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7HS,,ab4c3f13-0926-4ab1-b5bb-5efb95c7e5c4
