file_reference,file_name,file_type,file_size,clientside_original_filepath,rights_copyright,legal_status,held_by,date_last_modified,closure_type,closure_start_date,closure_period,foi_exemption_code,foi_exemption_asserted,title_closed,title_alternate,description,description_closed,description_alternate,language,end_date,file_name_translation,original_filepath,parent_reference,former_reference_department,UUID
ZDG7JL,folder2,Folder,,data/my-content-with-redactions/folder1/folder2,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7JC,,587b89e9-35c1-43a7-803f-661066e6b46f
ZDG7JR,folder5,Folder,,data/my-content-with-redactions/folder1/folder2/folder3/folder5,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7JS,,816ffe64-adbb-4890-b781-223207d1e71e
ZDG7JD,exporting from DROID_R1.png,File,41079,data/my-content-with-redactions/folder1/folder2/folder3/folder5/exporting from DROID_R1.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2024-05-24T12:01:06,Closed,2019-05-14T00:00:00,30,40(2),2024-05-01T00:00:00,false,,,false,,English,,,data/my-content-with-redactions/folder1/folder2/folder3/folder5/exporting from DROID.png,ZDG7JR,,533d1534-46f5-40c7-80ac-e47359020e95
ZDG7JG,DiAGRAM-Roboto.png,File,1107719,data/my-content-with-redactions/folder1/folder2/folder3/DiAGRAM-Roboto.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-10-19T16:14:41,Open,,,,,false,,,false,,English,,,,ZDG7JS,,193d847a-0284-4a9b-882c-d012ad305c16
ZDG7JS,folder3,Folder,,data/my-content-with-redactions/folder1/folder2/folder3,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7JL,,2770fa82-4259-4336-b761-0566b58c9ee5
ZDG7JP,user evaluation model values and comments.txt,File,4593,data/my-content-with-redactions/user evaluation model values and comments.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-10-02T19:28:03,Open,,,,,false,,,false,,English,,,,ZDG7JJ,,6173b8e9-206c-4789-955f-142ca99a1532
ZDG7JC,folder1,Folder,,data/my-content-with-redactions/folder1,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7JJ,,454c0db9-e2af-49e1-9ebe-4949f6b722ae
ZDG7JK,folder4,Folder,,data/my-content-with-redactions/folder1/folder2/folder3/folder4,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7JS,,dfe6d4b7-def9-431d-b7d9-69f11f0e197b
ZDG7JM,exporting from DROID.png,File,45401,data/my-content-with-redactions/folder1/folder2/folder3/folder5/exporting from DROID.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2019-05-14T16:06:02,Closed,2019-05-14T00:00:00,50,40(2),2024-05-01T00:00:00,false,,,false,,English,,,,ZDG7JR,,3aa2f6a5-f15c-483d-a099-af95091a5add
ZDG7JT,exporting from DROID_R.png,File,42764,data/my-content-with-redactions/folder1/folder2/folder3/folder5/exporting from DROID_R.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2024-05-24T11:59:16,Closed,2019-05-14T00:00:00,40,40(2),2024-05-01T00:00:00,false,,,false,,English,,,data/my-content-with-redactions/folder1/folder2/folder3/folder5/exporting from DROID.png,ZDG7JR,,3426d448-e618-4176-b851-5e480e85839e
ZDG7JB,folder6,Folder,,data/my-content-with-redactions/folder1/folder2/folder3/folder4/folder6,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,ZDG7JK,,a67082a4-0b71-4587-ad03-78ee8ab18964
ZDG7JJ,my-content-with-redactions,Folder,,data/my-content-with-redactions,Crown Copyright,Public Record(s),"The National Archives, Kew",,Open,,,,,false,,,false,,English,,,,,,6e10a121-9575-4f46-9f88-323033b9173a
ZDG7JN,CSV Schema Language example.PNG,File,4780,data/my-content-with-redactions/folder1/folder2/folder3/folder4/folder6/CSV Schema Language example.PNG,Crown Copyright,Public Record(s),"The National Archives, Kew",2020-01-09T17:23:50,Open,,,,,false,,,false,,English,,,,ZDG7JB,,65a0c2b2-6af5-404d-b04c-9f20848165af
ZDG7JH,Name split heuristics.txt,File,1702,data/my-content-with-redactions/folder1/folder2/folder3/folder4/Name split heuristics.txt,Crown Copyright,Public Record(s),"The National Archives, Kew",2023-08-10T15:43:59,Open,,,,,false,,,false,,English,,,,ZDG7JK,,4dd383a9-519b-4e41-8456-cbf0fe89185b
ZDG7JF,exporting from DROID_R2.png,File,39816,data/my-content-with-redactions/folder1/folder2/folder3/folder5/exporting from DROID_R2.png,Crown Copyright,Public Record(s),"The National Archives, Kew",2024-05-24T12:01:51,Open,,,,,false,,,false,,English,,,data/my-content-with-redactions/folder1/folder2/folder3/folder5/exporting from DROID.png,ZDG7JR,,ff8ac7b5-948b-4f59-9a4c-0bbb377021ea
